1463.0 nm, 2.75801569373e-07
1464.0 nm, 5.42551663638e-07
1465.0 nm, 5.67646842324e-07
1466.0 nm, 6.39153054893e-07
1467.0 nm, 7.10859228469e-07
1468.0 nm, 7.54246141776e-07
1469.0 nm, 7.44778680106e-07
1470.0 nm, 7.72689150483e-07
1471.0 nm, 7.97852528109e-07
1472.0 nm, 9.07164171683e-07
1473.0 nm, 9.92897171304e-07
1474.0 nm, 1.03131757922e-06
1475.0 nm, 1.01699205716e-06
1476.0 nm, 1.06229174238e-06
1477.0 nm, 1.18305359247e-06
1478.0 nm, 1.31571452659e-06
1479.0 nm, 1.37867824872e-06
1480.0 nm, 1.40679626008e-06
1481.0 nm, 1.44404208404e-06
1482.0 nm, 1.58079303161e-06
1483.0 nm, 1.72062809919e-06
1484.0 nm, 1.80881937043e-06
1485.0 nm, 1.74975375355e-06
1486.0 nm, 1.73831289059e-06
1487.0 nm, 1.79935865834e-06
1488.0 nm, 1.91262520292e-06
1489.0 nm, 1.95680859001e-06
1490.0 nm, 1.8869303286e-06
1491.0 nm, 1.83314477551e-06
1492.0 nm, 1.90882615578e-06
1493.0 nm, 2.0385290812e-06
1494.0 nm, 2.04388627087e-06
1495.0 nm, 1.94507158376e-06
1496.0 nm, 1.88416866269e-06
1497.0 nm, 1.9374762739e-06
1498.0 nm, 2.0340176572e-06
1499.0 nm, 1.99477446281e-06
1500.0 nm, 1.86375383873e-06
1501.0 nm, 1.85407537479e-06
1502.0 nm, 1.93417913988e-06
1503.0 nm, 1.98469348457e-06
1504.0 nm, 1.88337641643e-06
1505.0 nm, 1.7388663816e-06
1506.0 nm, 1.73186119421e-06
1507.0 nm, 1.80919996176e-06
1508.0 nm, 1.79428758736e-06
1509.0 nm, 1.66714841889e-06
1510.0 nm, 1.59629025024e-06
1511.0 nm, 1.64275235643e-06
1512.0 nm, 1.66145137214e-06
1513.0 nm, 1.55891806246e-06
1514.0 nm, 1.46392685311e-06
1515.0 nm, 1.49081221068e-06
1516.0 nm, 1.55323221238e-06
1517.0 nm, 1.51090574465e-06
1518.0 nm, 1.38189434166e-06
1519.0 nm, 1.36330657259e-06
1520.0 nm, 1.43060237195e-06
1521.0 nm, 1.4324986485e-06
1522.0 nm, 1.35566599621e-06
1523.0 nm, 1.28849398713e-06
1524.0 nm, 1.36580832993e-06
1525.0 nm, 1.39608454022e-06
1526.0 nm, 1.32187111225e-06
1527.0 nm, 1.27455671342e-06
1528.0 nm, 1.31125141662e-06
1529.0 nm, 1.35363455688e-06
1530.0 nm, 1.31272674636e-06
1531.0 nm, 1.2668331696e-06
1532.0 nm, 1.29852224494e-06
1533.0 nm, 1.3345607492e-06
1534.0 nm, 1.30390135548e-06
1535.0 nm, 1.2866838904e-06
1536.0 nm, 1.31190454174e-06
1537.0 nm, 1.32898718399e-06
1538.0 nm, 1.29369202574e-06
1539.0 nm, 1.27264915635e-06
1540.0 nm, 1.30647176699e-06
1541.0 nm, 1.30557519951e-06
1542.0 nm, 1.26660864641e-06
1543.0 nm, 1.24348655934e-06
1544.0 nm, 1.28300296555e-06
1545.0 nm, 1.27520989551e-06
1546.0 nm, 1.22555657676e-06
1547.0 nm, 1.2125527526e-06
1548.0 nm, 1.2287977933e-06
1549.0 nm, 1.20821553057e-06
1550.0 nm, 1.16497913364e-06
1551.0 nm, 1.20648881847e-06
1552.0 nm, 1.22974666326e-06
1553.0 nm, 1.20229276434e-06
1554.0 nm, 1.16815698277e-06
1555.0 nm, 1.15397881639e-06
1556.0 nm, 1.17538480466e-06
1557.0 nm, 1.11368971096e-06
1558.0 nm, 1.07802093299e-06
1559.0 nm, 1.13174757013e-06
1560.0 nm, 1.14583040034e-06
1561.0 nm, 1.06969941264e-06
1562.0 nm, 1.07975126424e-06
1563.0 nm, 1.13372381393e-06
1564.0 nm, 1.08455061423e-06
1565.0 nm, 9.99597874314e-07
1566.0 nm, 1.00850103085e-06
1567.0 nm, 1.04113486296e-06
1568.0 nm, 9.96384546659e-07
1569.0 nm, 9.65033681431e-07
1570.0 nm, 9.74282187204e-07
1571.0 nm, 9.93591811471e-07
1572.0 nm, 9.64416932425e-07
1573.0 nm, 9.31180514291e-07
1574.0 nm, 9.32952200076e-07
1575.0 nm, 9.18050357751e-07
1576.0 nm, 8.91775855007e-07
1577.0 nm, 8.92216377437e-07
